source_domain,source,source_id,target_domain,target,target_id,relationship,code
Common,Collaboration,collaboration,Implementation & Migration,Work Package,work-package,Association,O
Common,Event,event,Common,Collaboration,collaboration,Association,O
Common,Event,event,Common,Event,event,Composition,C
Common,Event,event,Common,Event,event,Aggregation,G
Common,Event,event,Common,Event,event,Association,O
Common,Event,event,Common,Event,event,Specialization,S
Common,Event,event,Common,Function,function,Association,O
Common,Event,event,Common,Function,function,Flow,F
Common,Event,event,Common,Function,function,Triggering,T
Common,Event,event,Common,Grouping,grouping,Composition,C
Common,Event,event,Common,Grouping,grouping,Aggregation,G
Common,Event,event,Common,Grouping,grouping,Assignment,I
Common,Event,event,Common,Grouping,grouping,Realization,R
Common,Event,event,Common,Grouping,grouping,Serving,V
Common,Event,event,Common,Grouping,grouping,Access,A
Common,Event,event,Common,Grouping,grouping,Influence,N
Common,Event,event,Common,Grouping,grouping,Association,O
Common,Event,event,Common,Grouping,grouping,Specialization,S
Common,Event,event,Common,Grouping,grouping,Flow,F
Common,Event,event,Common,Grouping,grouping,Triggering,T
Common,Event,event,Common,Location,location,Association,O
Common,Event,event,Common,Path,path,Association,O
Common,Event,event,Common,Process,process,Association,O
Common,Event,event,Common,Process,process,Flow,F
Common,Event,event,Common,Process,process,Triggering,T
Common,Event,event,Common,Role,role,Association,O
Common,Event,event,Common,Service,service,Association,O
Common,Event,event,Common,Service,service,Flow,F
Common,Event,event,Common,Service,service,Triggering,T
Common,Event,event,Motivation,Assessment,assessment,Association,O
Common,Event,event,Motivation,Driver,driver,Association,O
Common,Event,event,Motivation,Goal,goal,Influence,N
Common,Event,event,Motivation,Goal,goal,Association,O
Common,Event,event,Motivation,Meaning,meaning,Association,O
Common,Event,event,Motivation,Outcome,outcome,Association,O
Common,Event,event,Motivation,Principle,principle,Association,O
Common,Event,event,Motivation,Requirement,requirement,Realization,R
Common,Event,event,Motivation,Requirement,requirement,Influence,N
Common,Event,event,Motivation,Requirement,requirement,Association,O
Common,Event,event,Motivation,Stakeholder,stakeholder,Association,O
Common,Event,event,Motivation,Value,value,Association,O
Common,Event,event,Strategy,Capability,capability,Association,O
Common,Event,event,Strategy,Course of Action,course-of-action,Association,O
Common,Event,event,Strategy,Resource,resource,Association,O
Common,Event,event,Strategy,Value Stream,value-stream,Association,O
Common,Event,event,Business,Business Actor,business-actor,Association,O
Common,Event,event,Business,Business Interface,business-interface,Association,O
Common,Event,event,Business,Business Object,business-object,Access,A
Common,Event,event,Business,Business Object,business-object,Association,O
Common,Event,event,Business,Product,product,Association,O
Common,Event,event,Application,Application Component,application-component,Association,O
Common,Event,event,Application,Application Interface,application-interface,Association,O
Common,Event,event,Application,Data Object,data-object,Access,A
Common,Event,event,Application,Data Object,data-object,Association,O
Common,Event,event,Technology,Artifact,artifact,Access,A
Common,Event,event,Technology,Artifact,artifact,Association,O
Common,Event,event,Technology,Communication Network,communication-network,Association,O
Common,Event,event,Technology,Device,device,Association,O
Common,Event,event,Technology,Distribution Network,distribution-network,Association,O
Common,Event,event,Technology,Equipment,equipment,Association,O
Common,Event,event,Technology,Facility,facility,Association,O
Common,Event,event,Technology,Material,material,Access,A
Common,Event,event,Technology,Material,material,Association,O
Common,Event,event,Technology,Node,technology-node,Association,O
Common,Event,event,Technology,System Software,system-software,Association,O
Common,Event,event,Technology,Technology Interface,technology-interface,Association,O
Common,Event,event,Implementation & Migration,Deliverable,deliverable,Access,A
Common,Event,event,Implementation & Migration,Deliverable,deliverable,Association,O
Common,Event,event,Implementation & Migration,Plateau,plateau,Association,O
Common,Event,event,Implementation & Migration,Plateau,plateau,Triggering,T
Common,Event,event,Implementation & Migration,Work Package,work-package,Association,O
Common,Event,event,Implementation & Migration,Work Package,work-package,Flow,F
Common,Event,event,Implementation & Migration,Work Package,work-package,Triggering,T
Common,Function,function,Common,Collaboration,collaboration,Association,O
Common,Function,function,Common,Event,event,Association,O
Common,Function,function,Common,Event,event,Flow,F
Common,Function,function,Common,Event,event,Triggering,T
Common,Function,function,Common,Function,function,Composition,C
Common,Function,function,Common,Function,function,Aggregation,G
Common,Function,function,Common,Function,function,Association,O
Common,Function,function,Common,Function,function,Specialization,S
Common,Function,function,Common,Function,function,Flow,F
Common,Function,function,Common,Function,function,Triggering,T
Common,Function,function,Common,Grouping,grouping,Composition,C
Common,Function,function,Common,Grouping,grouping,Aggregation,G
Common,Function,function,Common,Grouping,grouping,Assignment,I
Common,Function,function,Common,Grouping,grouping,Realization,R
Common,Function,function,Common,Grouping,grouping,Serving,V
Common,Function,function,Common,Grouping,grouping,Access,A
Common,Function,function,Common,Grouping,grouping,Influence,N
Common,Function,function,Common,Grouping,grouping,Association,O
Common,Function,function,Common,Grouping,grouping,Specialization,S
Common,Function,function,Common,Grouping,grouping,Flow,F
Common,Function,function,Common,Grouping,grouping,Triggering,T
Common,Function,function,Common,Location,location,Association,O
Common,Function,function,Common,Path,path,Association,O
Common,Function,function,Common,Process,process,Composition,C
Common,Function,function,Common,Process,process,Aggregation,G
Common,Function,function,Common,Process,process,Association,O
Common,Function,function,Common,Process,process,Flow,F
Common,Function,function,Common,Process,process,Triggering,T
Common,Function,function,Common,Role,role,Association,O
Common,Function,function,Common,Service,service,Realization,R
Common,Function,function,Common,Service,service,Association,O
Common,Function,function,Motivation,Assessment,assessment,Association,O
Common,Function,function,Motivation,Driver,driver,Association,O
Common,Function,function,Motivation,Goal,goal,Influence,N
Common,Function,function,Motivation,Goal,goal,Association,O
Common,Function,function,Motivation,Meaning,meaning,Association,O
Common,Function,function,Motivation,Outcome,outcome,Association,O
Common,Function,function,Motivation,Principle,principle,Association,O
Common,Function,function,Motivation,Requirement,requirement,Realization,R
Common,Function,function,Motivation,Requirement,requirement,Influence,N
Common,Function,function,Motivation,Requirement,requirement,Association,O
Common,Function,function,Motivation,Stakeholder,stakeholder,Association,O
Common,Function,function,Motivation,Value,value,Association,O
Common,Function,function,Strategy,Capability,capability,Realization,R
Common,Function,function,Strategy,Capability,capability,Association,O
Common,Function,function,Strategy,Course of Action,course-of-action,Realization,R
Common,Function,function,Strategy,Course of Action,course-of-action,Association,O
Common,Function,function,Strategy,Resource,resource,Association,O
Common,Function,function,Strategy,Value Stream,value-stream,Realization,R
Common,Function,function,Strategy,Value Stream,value-stream,Association,O
Common,Function,function,Business,Business Actor,business-actor,Association,O
Common,Function,function,Business,Business Interface,business-interface,Association,O
Common,Function,function,Business,Business Object,business-object,Access,A
Common,Function,function,Business,Business Object,business-object,Association,O
Common,Function,function,Business,Product,product,Association,O
Common,Function,function,Application,Application Component,application-component,Association,O
Common,Function,function,Application,Application Interface,application-interface,Association,O
Common,Function,function,Application,Data Object,data-object,Access,A
Common,Function,function,Application,Data Object,data-object,Association,O
Common,Function,function,Technology,Artifact,artifact,Access,A
Common,Function,function,Technology,Artifact,artifact,Association,O
Common,Function,function,Technology,Communication Network,communication-network,Association,O
Common,Function,function,Technology,Device,device,Association,O
Common,Function,function,Technology,Distribution Network,distribution-network,Association,O
Common,Function,function,Technology,Equipment,equipment,Association,O
Common,Function,function,Technology,Facility,facility,Association,O
Common,Function,function,Technology,Material,material,Access,A
Common,Function,function,Technology,Material,material,Association,O
Common,Function,function,Technology,Node,technology-node,Association,O
Common,Function,function,Technology,System Software,system-software,Association,O
Common,Function,function,Technology,Technology Interface,technology-interface,Association,O
Common,Function,function,Implementation & Migration,Deliverable,deliverable,Access,A
Common,Function,function,Implementation & Migration,Deliverable,deliverable,Association,O
Common,Function,function,Implementation & Migration,Plateau,plateau,Association,O
Common,Function,function,Implementation & Migration,Work Package,work-package,Association,O
Common,Grouping,grouping,Common,Collaboration,collaboration,Composition,C
Common,Grouping,grouping,Common,Collaboration,collaboration,Aggregation,G
Common,Grouping,grouping,Common,Collaboration,collaboration,Assignment,I
Common,Grouping,grouping,Common,Collaboration,collaboration,Realization,R
Common,Grouping,grouping,Common,Collaboration,collaboration,Serving,V
Common,Grouping,grouping,Common,Collaboration,collaboration,Access,A
Common,Grouping,grouping,Common,Collaboration,collaboration,Influence,N
Common,Grouping,grouping,Common,Collaboration,collaboration,Association,O
Common,Grouping,grouping,Common,Collaboration,collaboration,Specialization,S
Common,Grouping,grouping,Common,Collaboration,collaboration,Flow,F
Common,Grouping,grouping,Common,Collaboration,collaboration,Triggering,T
Common,Grouping,grouping,Common,Event,event,Composition,C
Common,Grouping,grouping,Common,Event,event,Aggregation,G
Common,Grouping,grouping,Common,Event,event,Assignment,I
Common,Grouping,grouping,Common,Event,event,Realization,R
Common,Grouping,grouping,Common,Event,event,Serving,V
Common,Grouping,grouping,Common,Event,event,Access,A
Common,Grouping,grouping,Common,Event,event,Influence,N
Common,Grouping,grouping,Common,Event,event,Association,O
Common,Grouping,grouping,Common,Event,event,Specialization,S
Common,Grouping,grouping,Common,Event,event,Flow,F
Common,Grouping,grouping,Common,Event,event,Triggering,T
Common,Grouping,grouping,Common,Function,function,Composition,C
Common,Grouping,grouping,Common,Function,function,Aggregation,G
Common,Grouping,grouping,Common,Function,function,Assignment,I
Common,Grouping,grouping,Common,Function,function,Realization,R
Common,Grouping,grouping,Common,Function,function,Serving,V
Common,Grouping,grouping,Common,Function,function,Access,A
Common,Grouping,grouping,Common,Function,function,Influence,N
Common,Grouping,grouping,Common,Function,function,Association,O
Common,Grouping,grouping,Common,Function,function,Specialization,S
Common,Grouping,grouping,Common,Function,function,Flow,F
Common,Grouping,grouping,Common,Function,function,Triggering,T
Common,Grouping,grouping,Common,Grouping,grouping,Composition,C
Common,Grouping,grouping,Common,Grouping,grouping,Aggregation,G
Common,Grouping,grouping,Common,Grouping,grouping,Assignment,I
Common,Grouping,grouping,Common,Grouping,grouping,Realization,R
Common,Grouping,grouping,Common,Grouping,grouping,Serving,V
Common,Grouping,grouping,Common,Grouping,grouping,Access,A
Common,Grouping,grouping,Common,Grouping,grouping,Influence,N
Common,Grouping,grouping,Common,Grouping,grouping,Association,O
Common,Grouping,grouping,Common,Grouping,grouping,Specialization,S
Common,Grouping,grouping,Common,Grouping,grouping,Flow,F
Common,Grouping,grouping,Common,Grouping,grouping,Triggering,T
Common,Grouping,grouping,Common,Location,location,Composition,C
Common,Grouping,grouping,Common,Location,location,Aggregation,G
Common,Grouping,grouping,Common,Location,location,Assignment,I
Common,Grouping,grouping,Common,Location,location,Realization,R
Common,Grouping,grouping,Common,Location,location,Serving,V
Common,Grouping,grouping,Common,Location,location,Access,A
Common,Grouping,grouping,Common,Location,location,Influence,N
Common,Grouping,grouping,Common,Location,location,Association,O
Common,Grouping,grouping,Common,Location,location,Specialization,S
Common,Grouping,grouping,Common,Location,location,Flow,F
Common,Grouping,grouping,Common,Location,location,Triggering,T
Common,Grouping,grouping,Common,Path,path,Composition,C
Common,Grouping,grouping,Common,Path,path,Aggregation,G
Common,Grouping,grouping,Common,Path,path,Assignment,I
Common,Grouping,grouping,Common,Path,path,Realization,R
Common,Grouping,grouping,Common,Path,path,Serving,V
Common,Grouping,grouping,Common,Path,path,Access,A
Common,Grouping,grouping,Common,Path,path,Influence,N
Common,Grouping,grouping,Common,Path,path,Association,O
Common,Grouping,grouping,Common,Path,path,Specialization,S
Common,Grouping,grouping,Common,Path,path,Flow,F
Common,Grouping,grouping,Common,Path,path,Triggering,T
Common,Grouping,grouping,Common,Process,process,Composition,C
Common,Grouping,grouping,Common,Process,process,Aggregation,G
Common,Grouping,grouping,Common,Process,process,Assignment,I
Common,Grouping,grouping,Common,Process,process,Realization,R
Common,Grouping,grouping,Common,Process,process,Serving,V
Common,Grouping,grouping,Common,Process,process,Access,A
Common,Grouping,grouping,Common,Process,process,Influence,N
Common,Grouping,grouping,Common,Process,process,Association,O
Common,Grouping,grouping,Common,Process,process,Specialization,S
Common,Grouping,grouping,Common,Process,process,Flow,F
Common,Grouping,grouping,Common,Process,process,Triggering,T
Common,Grouping,grouping,Common,Role,role,Composition,C
Common,Grouping,grouping,Common,Role,role,Aggregation,G
Common,Grouping,grouping,Common,Role,role,Assignment,I
Common,Grouping,grouping,Common,Role,role,Realization,R
Common,Grouping,grouping,Common,Role,role,Serving,V
Common,Grouping,grouping,Common,Role,role,Access,A
Common,Grouping,grouping,Common,Role,role,Influence,N
Common,Grouping,grouping,Common,Role,role,Association,O
Common,Grouping,grouping,Common,Role,role,Specialization,S
Common,Grouping,grouping,Common,Role,role,Flow,F
Common,Grouping,grouping,Common,Role,role,Triggering,T
Common,Grouping,grouping,Common,Service,service,Composition,C
Common,Grouping,grouping,Common,Service,service,Aggregation,G
Common,Grouping,grouping,Common,Service,service,Assignment,I
Common,Grouping,grouping,Common,Service,service,Realization,R
Common,Grouping,grouping,Common,Service,service,Serving,V
Common,Grouping,grouping,Common,Service,service,Access,A
Common,Grouping,grouping,Common,Service,service,Influence,N
Common,Grouping,grouping,Common,Service,service,Association,O
Common,Grouping,grouping,Common,Service,service,Specialization,S
Common,Grouping,grouping,Common,Service,service,Flow,F
Common,Grouping,grouping,Common,Service,service,Triggering,T
Common,Grouping,grouping,Motivation,Assessment,assessment,Composition,C
Common,Grouping,grouping,Motivation,Assessment,assessment,Aggregation,G
Common,Grouping,grouping,Motivation,Assessment,assessment,Assignment,I
Common,Grouping,grouping,Motivation,Assessment,assessment,Realization,R
Common,Grouping,grouping,Motivation,Assessment,assessment,Serving,V
Common,Grouping,grouping,Motivation,Assessment,assessment,Access,A
Common,Grouping,grouping,Motivation,Assessment,assessment,Influence,N
Common,Grouping,grouping,Motivation,Assessment,assessment,Association,O
Common,Grouping,grouping,Motivation,Assessment,assessment,Specialization,S
Common,Grouping,grouping,Motivation,Assessment,assessment,Flow,F
Common,Grouping,grouping,Motivation,Assessment,assessment,Triggering,T
Common,Grouping,grouping,Motivation,Driver,driver,Composition,C
Common,Grouping,grouping,Motivation,Driver,driver,Aggregation,G
Common,Grouping,grouping,Motivation,Driver,driver,Assignment,I
Common,Grouping,grouping,Motivation,Driver,driver,Realization,R
Common,Grouping,grouping,Motivation,Driver,driver,Serving,V
Common,Grouping,grouping,Motivation,Driver,driver,Access,A
Common,Grouping,grouping,Motivation,Driver,driver,Influence,N
Common,Grouping,grouping,Motivation,Driver,driver,Association,O
Common,Grouping,grouping,Motivation,Driver,driver,Specialization,S
Common,Grouping,grouping,Motivation,Driver,driver,Flow,F
Common,Grouping,grouping,Motivation,Driver,driver,Triggering,T
Common,Grouping,grouping,Motivation,Goal,goal,Composition,C
Common,Grouping,grouping,Motivation,Goal,goal,Aggregation,G
Common,Grouping,grouping,Motivation,Goal,goal,Assignment,I
Common,Grouping,grouping,Motivation,Goal,goal,Realization,R
Common,Grouping,grouping,Motivation,Goal,goal,Serving,V
Common,Grouping,grouping,Motivation,Goal,goal,Access,A
Common,Grouping,grouping,Motivation,Goal,goal,Influence,N
Common,Grouping,grouping,Motivation,Goal,goal,Association,O
Common,Grouping,grouping,Motivation,Goal,goal,Specialization,S
Common,Grouping,grouping,Motivation,Goal,goal,Flow,F
Common,Grouping,grouping,Motivation,Goal,goal,Triggering,T
Common,Grouping,grouping,Motivation,Meaning,meaning,Composition,C
Common,Grouping,grouping,Motivation,Meaning,meaning,Aggregation,G
Common,Grouping,grouping,Motivation,Meaning,meaning,Assignment,I
Common,Grouping,grouping,Motivation,Meaning,meaning,Realization,R
Common,Grouping,grouping,Motivation,Meaning,meaning,Serving,V
Common,Grouping,grouping,Motivation,Meaning,meaning,Access,A
Common,Grouping,grouping,Motivation,Meaning,meaning,Influence,N
Common,Grouping,grouping,Motivation,Meaning,meaning,Association,O
Common,Grouping,grouping,Motivation,Meaning,meaning,Specialization,S
Common,Grouping,grouping,Motivation,Meaning,meaning,Flow,F
Common,Grouping,grouping,Motivation,Meaning,meaning,Triggering,T
Common,Grouping,grouping,Motivation,Outcome,outcome,Composition,C
Common,Grouping,grouping,Motivation,Outcome,outcome,Aggregation,G
Common,Grouping,grouping,Motivation,Outcome,outcome,Assignment,I
Common,Grouping,grouping,Motivation,Outcome,outcome,Realization,R
Common,Grouping,grouping,Motivation,Outcome,outcome,Serving,V
Common,Grouping,grouping,Motivation,Outcome,outcome,Access,A
Common,Grouping,grouping,Motivation,Outcome,outcome,Influence,N
Common,Grouping,grouping,Motivation,Outcome,outcome,Association,O
Common,Grouping,grouping,Motivation,Outcome,outcome,Specialization,S
Common,Grouping,grouping,Motivation,Outcome,outcome,Flow,F
Common,Grouping,grouping,Motivation,Outcome,outcome,Triggering,T
Common,Grouping,grouping,Motivation,Principle,principle,Composition,C
Common,Grouping,grouping,Motivation,Principle,principle,Aggregation,G
Common,Grouping,grouping,Motivation,Principle,principle,Assignment,I
Common,Grouping,grouping,Motivation,Principle,principle,Realization,R
Common,Grouping,grouping,Motivation,Principle,principle,Serving,V
Common,Grouping,grouping,Motivation,Principle,principle,Access,A
Common,Grouping,grouping,Motivation,Principle,principle,Influence,N
Common,Grouping,grouping,Motivation,Principle,principle,Association,O
Common,Grouping,grouping,Motivation,Principle,principle,Specialization,S
Common,Grouping,grouping,Motivation,Principle,principle,Flow,F
Common,Grouping,grouping,Motivation,Principle,principle,Triggering,T
Common,Grouping,grouping,Motivation,Requirement,requirement,Composition,C
Common,Grouping,grouping,Motivation,Requirement,requirement,Aggregation,G
Common,Grouping,grouping,Motivation,Requirement,requirement,Assignment,I
Common,Grouping,grouping,Motivation,Requirement,requirement,Realization,R
Common,Grouping,grouping,Motivation,Requirement,requirement,Serving,V
Common,Grouping,grouping,Motivation,Requirement,requirement,Access,A
Common,Grouping,grouping,Motivation,Requirement,requirement,Influence,N
Common,Grouping,grouping,Motivation,Requirement,requirement,Association,O
Common,Grouping,grouping,Motivation,Requirement,requirement,Specialization,S
Common,Grouping,grouping,Motivation,Requirement,requirement,Flow,F
Common,Grouping,grouping,Motivation,Requirement,requirement,Triggering,T
Common,Grouping,grouping,Motivation,Stakeholder,stakeholder,Composition,C
Common,Grouping,grouping,Motivation,Stakeholder,stakeholder,Aggregation,G
Common,Grouping,grouping,Motivation,Stakeholder,stakeholder,Assignment,I
Common,Grouping,grouping,Motivation,Stakeholder,stakeholder,Realization,R
Common,Grouping,grouping,Motivation,Stakeholder,stakeholder,Serving,V
Common,Grouping,grouping,Motivation,Stakeholder,stakeholder,Access,A
Common,Grouping,grouping,Motivation,Stakeholder,stakeholder,Influence,N
Common,Grouping,grouping,Motivation,Stakeholder,stakeholder,Association,O
Common,Grouping,grouping,Motivation,Stakeholder,stakeholder,Specialization,S
Common,Grouping,grouping,Motivation,Stakeholder,stakeholder,Flow,F
Common,Grouping,grouping,Motivation,Stakeholder,stakeholder,Triggering,T
Common,Grouping,grouping,Motivation,Value,value,Composition,C
Common,Grouping,grouping,Motivation,Value,value,Aggregation,G
Common,Grouping,grouping,Motivation,Value,value,Assignment,I
Common,Grouping,grouping,Motivation,Value,value,Realization,R
Common,Grouping,grouping,Motivation,Value,value,Serving,V
Common,Grouping,grouping,Motivation,Value,value,Access,A
Common,Grouping,grouping,Motivation,Value,value,Influence,N
Common,Grouping,grouping,Motivation,Value,value,Association,O
Common,Grouping,grouping,Motivation,Value,value,Specialization,S
Common,Grouping,grouping,Motivation,Value,value,Flow,F
Common,Grouping,grouping,Motivation,Value,value,Triggering,T
Common,Grouping,grouping,Strategy,Capability,capability,Composition,C
Common,Grouping,grouping,Strategy,Capability,capability,Aggregation,G
Common,Grouping,grouping,Strategy,Capability,capability,Assignment,I
Common,Grouping,grouping,Strategy,Capability,capability,Realization,R
Common,Grouping,grouping,Strategy,Capability,capability,Serving,V
Common,Grouping,grouping,Strategy,Capability,capability,Access,A
Common,Grouping,grouping,Strategy,Capability,capability,Influence,N
Common,Grouping,grouping,Strategy,Capability,capability,Association,O
Common,Grouping,grouping,Strategy,Capability,capability,Specialization,S
Common,Grouping,grouping,Strategy,Capability,capability,Flow,F
Common,Grouping,grouping,Strategy,Capability,capability,Triggering,T
Common,Grouping,grouping,Strategy,Course of Action,course-of-action,Composition,C
Common,Grouping,grouping,Strategy,Course of Action,course-of-action,Aggregation,G
Common,Grouping,grouping,Strategy,Course of Action,course-of-action,Assignment,I
Common,Grouping,grouping,Strategy,Course of Action,course-of-action,Realization,R
Common,Grouping,grouping,Strategy,Course of Action,course-of-action,Serving,V
Common,Grouping,grouping,Strategy,Course of Action,course-of-action,Access,A
Common,Grouping,grouping,Strategy,Course of Action,course-of-action,Influence,N
Common,Grouping,grouping,Strategy,Course of Action,course-of-action,Association,O
Common,Grouping,grouping,Strategy,Course of Action,course-of-action,Specialization,S
Common,Grouping,grouping,Strategy,Course of Action,course-of-action,Flow,F
Common,Grouping,grouping,Strategy,Course of Action,course-of-action,Triggering,T
Common,Grouping,grouping,Strategy,Resource,resource,Composition,C
Common,Grouping,grouping,Strategy,Resource,resource,Aggregation,G
Common,Grouping,grouping,Strategy,Resource,resource,Assignment,I
Common,Grouping,grouping,Strategy,Resource,resource,Realization,R
Common,Grouping,grouping,Strategy,Resource,resource,Serving,V
Common,Grouping,grouping,Strategy,Resource,resource,Access,A
Common,Grouping,grouping,Strategy,Resource,resource,Influence,N
Common,Grouping,grouping,Strategy,Resource,resource,Association,O
Common,Grouping,grouping,Strategy,Resource,resource,Specialization,S
Common,Grouping,grouping,Strategy,Resource,resource,Flow,F
Common,Grouping,grouping,Strategy,Resource,resource,Triggering,T
Common,Grouping,grouping,Strategy,Value Stream,value-stream,Composition,C
Common,Grouping,grouping,Strategy,Value Stream,value-stream,Aggregation,G
Common,Grouping,grouping,Strategy,Value Stream,value-stream,Assignment,I
Common,Grouping,grouping,Strategy,Value Stream,value-stream,Realization,R
Common,Grouping,grouping,Strategy,Value Stream,value-stream,Serving,V
Common,Grouping,grouping,Strategy,Value Stream,value-stream,Access,A
Common,Grouping,grouping,Strategy,Value Stream,value-stream,Influence,N
Common,Grouping,grouping,Strategy,Value Stream,value-stream,Association,O
Common,Grouping,grouping,Strategy,Value Stream,value-stream,Specialization,S
Common,Grouping,grouping,Strategy,Value Stream,value-stream,Flow,F
Common,Grouping,grouping,Strategy,Value Stream,value-stream,Triggering,T
Common,Grouping,grouping,Business,Business Actor,business-actor,Composition,C
Common,Grouping,grouping,Business,Business Actor,business-actor,Aggregation,G
Common,Grouping,grouping,Business,Business Actor,business-actor,Assignment,I
Common,Grouping,grouping,Business,Business Actor,business-actor,Realization,R
Common,Grouping,grouping,Business,Business Actor,business-actor,Serving,V
Common,Grouping,grouping,Business,Business Actor,business-actor,Access,A
Common,Grouping,grouping,Business,Business Actor,business-actor,Influence,N
Common,Grouping,grouping,Business,Business Actor,business-actor,Association,O
Common,Grouping,grouping,Business,Business Actor,business-actor,Specialization,S
Common,Grouping,grouping,Business,Business Actor,business-actor,Flow,F
Common,Grouping,grouping,Business,Business Actor,business-actor,Triggering,T
Common,Grouping,grouping,Business,Business Interface,business-interface,Composition,C
Common,Grouping,grouping,Business,Business Interface,business-interface,Aggregation,G
Common,Grouping,grouping,Business,Business Interface,business-interface,Assignment,I
Common,Grouping,grouping,Business,Business Interface,business-interface,Realization,R
Common,Grouping,grouping,Business,Business Interface,business-interface,Serving,V
Common,Grouping,grouping,Business,Business Interface,business-interface,Access,A
Common,Grouping,grouping,Business,Business Interface,business-interface,Influence,N
Common,Grouping,grouping,Business,Business Interface,business-interface,Association,O
Common,Grouping,grouping,Business,Business Interface,business-interface,Specialization,S
Common,Grouping,grouping,Business,Business Interface,business-interface,Flow,F
Common,Grouping,grouping,Business,Business Interface,business-interface,Triggering,T
Common,Grouping,grouping,Business,Business Object,business-object,Composition,C
